"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"NM_TIPO_DESTINACAO_VOTOS";"QT_VOTOS_NOMINAIS_VALIDOS";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;3;"Governador";300000303000151;15;"GILVAM PINHEIRO BORGES";"GILVAM";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";232;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;3;"Governador";300000303000121;12;"ANTÔNIO WALDEZ GÓES DA SILVA";"WALDEZ";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";376;6;"2º TURNO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;5;"Senador";300000305000231;23;"ANTÔNIO ILDEGARDO GOMES DE ALENCAR";"ILDEGARDO ALENCAR";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";23;"PPS";"Partido Popular Socialista";-3;"#NE";"#NE";"#NE";-3;"AMAPÁ PARA TODOS";"PT / PPS / PAN / PSB / PV / PRP / PC do B ";"N";0;"#NE";267;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;5;"Senador";300000305000151;15;"JOSÉ SARNEY";"JOSÉ SARNEY";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";496;1;"ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;5;"Senador";300000305000121;12;"JOSÉ SOARES DA SILVA";"SOARES";"#NE";2;"DEFERIDO";-3;"#NE";"PARTIDO ISOLADO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"PARTIDO ISOLADO";"PDT";"N";0;"#NE";38;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;5;"Senador";300000305000701;70;"VANDA CHERFEN DE SOUZA";"VANDA CHERFEN";"#NE";2;"DEFERIDO";-3;"#NE";"PARTIDO ISOLADO";70;"PT do B";"Partido Trabalhista do Brasil";-3;"#NE";"#NE";"#NE";-3;"PARTIDO ISOLADO";"PT do B";"N";0;"#NE";9;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;5;"Senador";300000305000201;20;"WALTER CUNHA DA SILVA";"WALTER CUNHA";"#NE";2;"DEFERIDO";-3;"#NE";"PARTIDO ISOLADO";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"PARTIDO ISOLADO";"PSC";"N";0;"#NE";273;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012141;1214;"ALBERTO PEREIRA GÓES";"ALBERTO GÓES";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";1;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306040401;4040;"AMILTON LOBATO COUTINHO";"AMILTON";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";40;"PSB";"Partido Socialista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"AMA TODOS";"PPS / PSB / PV / PRP / PC do B ";"N";0;"#NE";31;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306013121;1312;"ANTÔNIO ELIAS AIRES DOS SANTOS";"ANTONIO ELIAS";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";13;"PT";"Partido dos Trabalhadores";-3;"#NE";"#NE";"#NE";-3;"UNIÃO PELA DIGNIDADE";"PT / PAN ";"N";0;"#NE";12;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012111;1211;"ANTÔNIO MONTEIRO DO CARMO";"ANTÔNIO DO CARMO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";2;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306045551;4555;"HILDEMAR SOUZA DE AZEVEDO PICANCO";"BADU";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";45;"PSDB";"Partido da Social Democracia Brasileira";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";22;5;"MÉDIA"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012131;1213;"LUIZ OLEGARIO CARDOSO CAMPOS";"CABO OLEGÁRIO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";3;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306065801;6580;"RAIMUNDO CARLOS DA SILVA MARQUES";"CHARLES";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";65;"PC do B";"Partido Comunista do Brasil";-3;"#NE";"#NE";"#NE";-3;"AMA TODOS";"PPS / PSB / PV / PRP / PC do B ";"N";0;"#NE";6;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306041111;4111;"MARIA DO SOCORRO FERNANDES LACERDA";"D. SOCORRO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";41;"PSD";"Partido Social Democrático";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";6;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306025111;2511;"BENEDITO DIAS DE CARVALHO";"DR. BENEDITO DIAS";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";145;1;"ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306011111;1111;"ERALDO DA SILVA TRINDADE";"ERALDO TRINDADE";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";11;"PPB";"Partido Progressista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";10;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306045631;4563;"ANTONIO DA JUSTA FEIJAO";"FEIJÃO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";45;"PSDB";"Partido da Social Democracia Brasileira";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";3;5;"MÉDIA"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306023001;2300;"FERNANDO LAERCIO DE AZEVEDO SANTOS";"FERNANDO SANTOS";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";23;"PPS";"Partido Popular Socialista";-3;"#NE";"#NE";"#NE";-3;"AMA TODOS";"PPS / PSB / PV / PRP / PC do B ";"N";0;"#NE";1;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012341;1234;"NILSON DA SILVA FIGUEIREDO";"FIGUEIREDO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";4;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306045781;4578;"FATIMA LUCIA PELAES";"FÁTIMA PELAES";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";45;"PSDB";"Partido da Social Democracia Brasileira";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";180;1;"ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306015151;1515;"GEOVANI PINHEIRO BORGES";"GEOVANI";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";20;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012121;1212;"GERVASIO AUGUSTO DE OLIVEIRA";"GERVÁSIO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";5;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306015111;1511;"JOAQUIM VAZ DE MESQUITA";"JOAQUIM";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";6;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306013111;1311;"JOB MIRANDA DE MOURA";"JOB";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";13;"PT";"Partido dos Trabalhadores";-3;"#NE";"#NE";"#NE";-3;"UNIÃO PELA DIGNIDADE";"PT / PAN ";"N";0;"#NE";1;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306015981;1598;"JURANDIL DOS SANTOS JUAREZ";"JURANDIL JUAREZ";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";58;1;"ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306013131;1313;"LOURIVAL DO CARMO DE FREITAS";"LOURIVAL FREITAS";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";13;"PT";"Partido dos Trabalhadores";-3;"#NE";"#NE";"#NE";-3;"UNIÃO PELA DIGNIDADE";"PT / PAN ";"N";0;"#NE";94;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306020201;2020;"LUIS EDUARDO SILVA LIMA";"LUIS LIMA";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";1;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306026121;2612;"MANOEL CORREA BEZERRA";"MANOEL BEZERRA";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";26;"PAN";"Partido dos Aposentados da Nação";-3;"#NE";"#NE";"#NE";-3;"UNIÃO PELA DIGNIDADE";"PT / PAN ";"N";0;"#NE";5;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306040661;4066;"EVANDRO COSTA MILHOMEN";"MILHOMEN";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";40;"PSB";"Partido Socialista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"AMA TODOS";"PPS / PSB / PV / PRP / PC do B ";"N";0;"#NE";47;1;"ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306020001;2000;"MOISÉS ARAUJO FERREIRA";"MOISÉS ARAÚJO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";124;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306025551;2555;"MURILO AGOSTINHO PINHEIRO";"MURILO PINHEIRO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";6;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306041231;4123;"ORLANDO GADELHA DE MIRANDA";"ORLANDO GADELHA";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";41;"PSD";"Partido Social Democrático";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";6;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306025801;2580;"PAULO LEITE DE MENDONÇA";"PAULO LEITE";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";107;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306014141;1414;"EDUARDO SEABRA DA COSTA";"PROFESSOR EDUARDO SEABRA";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";14;"PTB";"Partido Trabalhista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";31;1;"ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306040061;4006;"RAQUEL CAPIBERIBE DA SILVA";"RAQUEL CAPIBERIBE";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";40;"PSB";"Partido Socialista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"AMA TODOS";"PPS / PSB / PV / PRP / PC do B ";"N";0;"#NE";42;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306016161;1616;"RENATO AMANAJAS DE ATAYDE";"RENATO";"#NE";2;"DEFERIDO";-3;"#NE";"PARTIDO ISOLADO";16;"PSTU";"Partido Socialista dos Trabalhadores Unificado";-3;"#NE";"#NE";"#NE";-3;"PARTIDO ISOLADO";"PSTU";"N";0;"#NE";1;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306013001;1300;"JOSÉ DE RIBAMAR OLIVEIRA QUINTAS";"RIBAMAR QUINTAS";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";13;"PT";"Partido dos Trabalhadores";-3;"#NE";"#NE";"#NE";-3;"UNIÃO PELA DIGNIDADE";"PT / PAN ";"N";0;"#NE";7;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306015231;1523;"ROBERTO WAGNER MONTEIRO";"ROBERTO WAGNER";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";19;2;"SUPLENTE"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012001;1200;"RUI SEBASTIAO CRUZ MORAES";"RUI MORAES";"#NE";6;"RENÚNCIA";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";2;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012002;1200;"RUI SEBASTIAO CRUZ MORAES";"RUI MORAES";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";2;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012211;1221;"SANDRO MODESTO DA SILVA";"SANDRO MODESTO";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";1;4;"NÃO ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306025251;2525;"SERGIO CERQUEIRA BARCELLOS";"SÉRGIO BARCELLOS";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"FRENTE DE LUTA";"PPB / PTB / PMDB / PSL / PL / PFL / PMN / PSD / PSDB / PRONA ";"N";0;"#NE";23;1;"ELEITO"
"20/09/2023";"17:53:41";"1998";2;"Eleição Ordinária";1;1998001;"ELEIÇÕES ORDINÁRIAS - 1998";"04/10/1998";"F";"AP";"AP";"Amapá";"06068";"CUTIAS";10;6;"Deputado Federal";300000306012351;1235;"SÉRGIO JOSÉ MENEZES DE OLIVEIRA";"SÉRGIO MENEZES";"#NE";2;"DEFERIDO";-3;"#NE";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"O AMAPÁ QUE A GENTE QUER";"PDT / PSC / PT do B ";"N";0;"#NE";2;4;"NÃO ELEITO"
